Sample ID	ATB group	Group AVG (%)	RPKM sum	total RPKM
H1 13	fluoroquinolones	0.016902861350981825	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	diaminopyrimidines	0.04109004858476553	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	lincosamides	0.06252635900086256	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	aminoglycosides	0.024651875621594127	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	tetracyclines	0.01590585663848251	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	betalactams	0.11898590304332607	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	antibiotic efflux	0.3775830893508856	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	peptides	0.21957641277976406	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	elfamycins	0.023085791307339735	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	macrolides	0.02328129959663535	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	nitrofurans	0.02257150387722573	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 13	ionofors	0.053838998848136706	{'fluoroquinolones': 1.86491049909877, 'diaminopyrimidines': 4.533508346488134, 'lincosamides': 6.898599056683043, 'aminoglycosides': 2.7198674067404256, 'tetracyclines': 1.7549099188784913, 'betalactams': 13.127840027946384, 'antibiotic efflux': 41.659140011327935, 'peptides': 24.226096933797635, 'elfamycins': 2.547079674564106, 'macrolides': 2.568650310079439, 'nitrofurans': 2.4903378006257966, 'ionofors': 5.940113459371456}	110.33105344560164
H1 20	phenicols	0.005269838096174232	{'phenicols': 1.0447676489882547, 'fluoroquinolones': 2.3512977523167224, 'lincosamides': 143.36564002029996, 'tetracyclines': 8.714945204209753, 'aminoglycosides': 16.990590392748395, 'MDR': 5.706370346076539, 'betalactams': 0.6021223428413909, 'diaminopyrimidines': 11.33725078884675, 'antibiotic efflux': 2.9766695439817203, 'peptides': 0.9400225982071356, 'macrolides': 0.8110325684868392, 'polymyxins': 0.2086637190767111, 'nitrofurans': 0.2621019885963566, 'ionofors': 2.942746547407671}	198.25422146208425
H1 20	fluoroquinolones	0.01186001354713349	{'phenicols': 1.0447676489882547, 'fluoroquinolones': 2.3512977523167224, 'lincosamides': 143.36564002029996, 'tetracyclines': 8.714945204209753, 'aminoglycosides': 16.990590392748395, 'MDR': 5.706370346076539, 'betalactams': 0.6021223428413909, 'diaminopyrimidines': 11.33725078884675, 'antibiotic efflux': 2.9766695439817203, 'peptides': 0.9400225982071356, 'macrolides': 0.8110325684868392, 'polymyxins': 0.2086637190767111, 'nitrofurans': 0.2621019885963566, 'ionofors': 2.942746547407671}	198.25422146208425
H1 20	lincosamides	0.7231404151851484	{'phenicols': 1.0447676489882547, 'fluoroquinolones': 2.3512977523167224, 'lincosamides': 143.36564002029996, 'tetracyclines': 8.714945204209753, 'aminoglycosides': 16.990590392748395, 'MDR': 5.706370346076539, 'betalactams': 0.6021223428413909, 'diaminopyrimidines': 11.33725078884675, 'antibiotic efflux': 2.9766695439817203, 'peptides': 0.9400225982071356, 'macrolides': 0.8110325684868392, 'polymyxins': 0.2086637190767111, 'nitrofurans': 0.2621019885963566, 'ionofors': 2.942746547407671}	198.25422146208425
H1 20	tetracyclines	0.04395843447841271	{'phenicols': 1.0447676489882547, 'fluoroquinolones': 2.3512977523167224, 'lincosamides': 143.36564002029996, 'tetracyclines': 8.714945204209753, 'aminoglycosides': 16.990590392748395, 'MDR': 5.706370346076539, 'betalactams': 0.6021223428413909, 'diaminopyrimidines': 11.33725078884675, 'antibiotic efflux': 2.9766695439817203, 'peptides': 0.9400225982071356, 'macrolides': 0.8110325684868392, 'polymyxins': 0.2086637190767111, 'nitrofurans': 0.2621019885963566, 'ionofors': 2.942746547407671}	198.25422146208425
